Id_Client;Client;Adresse_rue;Code_Postal;Ville;numero_telephone;Titre;Prenom;Nom;
23;E. SARL;"64, rue des Tailleurs";72000;LE MANS;02.43.55.00.00;M.;Thierry;HAIES;
24;Burt's SA;"32, avenue du Cirque";34100;MONTPELLIER;04.67.02.97.50;M.;William;HISSON;
25;Prasco Groupe;"11, rue du Lac";35000;RENNES;02.99.23.55.90;M.;Eric;HOCHARD;
26;Mylan SA;"12, place de la Gendarmerie";16000;ANGOULEME;05.45.67.94.53;M.;Hermann;IACONO;
27;Wuxi Groupe;"5, avenue Emile Victor";79000;NIORT;05.49.55.88.21;Mme;AngŠle;ICIBO;
28;Dharma SARL;"1, avenue de la Maine";49000;ANGERS;02.41.66.43.12;Mme;Patricia;IKASSION;
29;"Apotheca, SARL";"6, avenue Christophe Colomb";35100;RENNES;02.99.58.67.35;Mme;Aude;JAVAUDIN;
30;S.S.S. Groupe;"3, place de la Mairie";35100;RENNES;02.99.56.45.89;Mlle;Laure;LACOSTE;
31;Uriel Groupe;"5, place de la Poste";35100;RENNES;02.99.65.88.33;M.;Dimitri;LECOUBLE;
32;OHTA'S SA;"25, rue du Chƒteau";44300;NANTES;02.40.25.25.68;M.;Pierre;LUCAS;
33;Trigen ;"14, rue du Chenil";92800;PARIS La D‚fense;01.43.11.55.44;Mme;M‚lanie;MALARD;
34;OUR SARL;"1, avenue Gustave Eiffel";34100;MONTPELLIER;04.67.00.31.21;Mlle;Elodie;MATHELIER;
35;Amylin Groupe;"52, rue du Stade";72000;LE MANS;02.43.55.70.30;Mme;Anne;MNACH;
36;O.E. SARL;"4, rue des Aveux";17000;LA ROCHELLE;05.46.22.10.00;Mlle;Edith;MOISAN;
37;AuroMedics SA;"12, rue des Aveux";92800;PARIS La D‚fense;01.47.22.33.00;Mlle;Judith;MOIROUX;
38;Ascend SARL;"15, avenue d'Alg‚rie";34190;GANGES;04.67.55.99.00;M.;Thibault;MONDAT;
39;Victory SARL;"33, rue des Buissons";35100;RENNES;02.99.25.33.66;M.;Bruno;MOREAU;
40;Select ;"42, route de Vannes";35100;RENNES;02.99.60.23.41;M.;Edouard;NENON;
41;Weimei SA;"11, place de la R‚publique";34190;GANGES;04.67.66.00.77;Mlle;Chantal;NIOLA;
42;Llorens SARL;"27, avenue Hippocrate";44000;NANTES;02.40.88.66.30;Mlle;Annick;OFARIN;
43;"Exact-Rx, SA";"53, rue des P‚licans";66000;PERPIGNAN;04.68.50.34.68;Mlle;Anne;ONILLON;
44;Winthrop ;"70, place des Pav‚s";44000;NANTES;02.40.10.30.40;Mme;Marthe;OPILLARD;
45;Nipro ;"12, avenue de la Caserne";34190;GANGES;04.67.62.82.71;M.;Henri;OPOCCI;
46;U.S. SARL;"25, rue du Parc";17100;ROCHEFORT;05.46.59.62.35;M.;Fr‚d‚ric;PAON;
47;Niconovum SA;"45, rue des MaraŒchers";72000;LE MANS;02.43.22.66.17;Mlle;Sophie;PASCOT;
48;"Fenwal, SA";"5, rue des Aliz‚es";44000;NANTES;02.40.51.36.92;M.;Firmin;PEULON;
49;Bare ;"5, Bd des Anglais";44000;NANTES;02.40.25.85.77;Mme;Jo‰lle;RAPON;
50;Sundial ;"3, avenue de Smyrne";33120;ARCACHON;05.56.40.23.89;Mlle;Fan‡oise;RENAUD;
